date,sales_rep_id,total_sales_amount,deals_closed,customer_satisfaction_score
2022-06-13,REP-681,280776.43,7,2.8
2023-04-26,REP-552,89802.88,11,1.4
2022-06-08,REP-321,381815.36,6,1.3
2022-04-12,REP-450,415123.63,28,4.8
2023-04-13,REP-418,463447.62,14,3.0
2023-01-07,REP-792,173467.24,16,4.0
2022-10-27,REP-311,254557.12,5,1.7
2023-01-22,REP-731,105258.62,18,1.0
2022-04-18,REP-697,271750.21,2,4.3
2022-06-20,REP-637,190715.39,12,1.0
2023-01-01,REP-250,87022.95,21,4.6
2022-11-02,REP-366,293922.03,44,3.5
2022-02-08,REP-597,197002.76,48,4.5
2022-12-24,REP-275,107447.58,21,4.2
2023-02-22,REP-198,96676.28,27,1.6
2023-04-23,REP-831,185663.08,7,4.8
2023-03-08,REP-469,64927.77,43,4.5
2022-04-27,REP-213,229789.74,36,2.6
2022-05-19,REP-692,363371.74,12,5.0
2022-04-19,REP-743,306044.26,1,4.9
2022-04-28,REP-346,459849.76,22,3.4
2022-03-06,REP-486,167701.61,49,2.7
2022-01-07,REP-771,312207.91,11,1.8
2022-09-05,REP-622,162703.34,11,4.8
2022-08-26,REP-228,395406.79,34,2.8
2022-12-15,REP-975,192673.63,32,1.5
2022-04-24,REP-366,255823.77,39,2.2
2023-04-23,REP-643,189298.59,37,2.3
2022-02-15,REP-110,388550.26,46,2.8
2022-12-15,REP-176,410906.4,23,2.2
2023-02-07,REP-995,112194.06,19,3.8
2023-04-18,REP-704,287237.83,43,1.6
2022-03-03,REP-793,274082.01,14,2.5
2022-06-19,REP-259,382651.96,17,2.8
2022-09-18,REP-614,65684.72,10,3.1
2022-03-11,REP-912,194998.82,11,3.4
2022-01-04,REP-505,141750.77,20,1.4
2022-11-21,REP-311,140882.75,7,2.7
2022-08-30,REP-269,487025.73,24,2.5
2022-05-26,REP-685,76524.76,40,4.3
2022-05-09,REP-337,52260.02,41,3.4
2023-03-26,REP-837,97681.41,44,2.9
2023-02-22,REP-819,80649.41,6,3.5
2023-02-26,REP-190,397509.86,38,1.4
2022-07-27,REP-262,335789.1,15,3.2
2022-03-24,REP-524,17234.0,4,5.0
2022-01-24,REP-845,30196.56,13,3.3
2023-04-02,REP-312,435444.69,48,3.5
2022-03-19,REP-615,45248.1,1,2.5
2022-07-17,REP-711,399144.95,11,3.0
2022-05-30,REP-884,122017.2,44,3.4
2022-07-02,REP-621,244322.17,46,5.0
2023-04-16,REP-118,255052.01,36,2.6
2022-02-22,REP-407,388719.38,31,4.9
2022-05-05,REP-876,194514.38,44,1.1
2022-07-10,REP-271,384325.17,8,4.3
2023-02-18,REP-547,325366.78,25,4.1
2022-01-07,REP-735,59916.84,7,1.3
2022-02-19,REP-749,90210.6,50,3.8
2022-10-22,REP-689,335809.11,7,3.8
2022-11-20,REP-976,184114.47,49,3.1
2022-04-23,REP-504,373463.05,38,2.0
2022-06-01,REP-682,123629.28,7,5.0
2022-09-05,REP-851,99860.88,9,4.8
2022-03-26,REP-772,91869.19,18,3.3
2022-01-10,REP-675,345663.01,50,4.0
2022-10-07,REP-988,52774.98,5,4.1
2022-11-24,REP-547,71091.87,13,2.8
2023-03-25,REP-366,318498.44,20,3.3
2022-02-28,REP-314,154119.78,10,4.2
2022-11-07,REP-996,254913.78,26,1.2
2023-02-12,REP-631,470598.99,18,2.1
2022-09-19,REP-461,410589.74,28,2.3
2023-03-13,REP-831,375704.79,12,4.8
2022-02-01,REP-244,384356.57,21,4.6
2022-04-21,REP-430,330332.55,11,3.0
2022-10-19,REP-667,114558.27,30,1.5
2022-09-16,REP-127,232151.85,27,3.4
2022-10-10,REP-445,367003.63,8,3.2
2022-01-21,REP-252,85895.32,28,1.8
2022-10-10,REP-687,100833.98,49,3.7
2023-02-05,REP-666,67658.25,19,1.9
2022-03-27,REP-867,437533.4,47,1.7
2022-09-11,REP-688,119132.32,50,4.0
2022-10-18,REP-317,224529.59,1,1.8
2022-10-27,REP-434,46439.55,12,4.3
2022-12-05,REP-569,82237.65,3,3.0
2022-09-05,REP-488,387522.67,50,1.9
2022-01-16,REP-514,99070.32,44,4.0
2022-11-26,REP-202,303064.49,46,2.4
2022-07-12,REP-120,88373.7,24,2.7
2022-04-20,REP-596,155520.16,32,1.1
2022-07-25,REP-781,277798.36,5,1.1
2022-11-14,REP-347,417407.16,46,3.1
2023-04-20,REP-511,10538.45,28,4.6
2022-12-19,REP-468,99744.52,15,4.7
2022-03-08,REP-658,409850.33,26,1.6
2022-06-27,REP-975,229742.87,41,2.7
2022-06-21,REP-622,117786.38,27,4.5
2022-11-22,REP-355,491077.23,24,4.3
2023-04-29,REP-327,214402.16,8,1.3
2022-12-13,REP-172,160806.54,19,2.3
2023-03-19,REP-535,250835.16,19,3.6
2022-08-17,REP-144,88756.66,49,1.0
2022-01-14,REP-314,489072.17,50,3.6
2022-05-09,REP-847,20086.36,44,2.4
2022-10-05,REP-231,473964.15,2,2.8
2022-11-18,REP-134,462506.27,42,3.4
2023-04-02,REP-501,306787.58,33,2.7
2022-07-08,REP-212,217048.96,3,3.1
2023-04-05,REP-473,227558.97,18,1.7
2022-06-08,REP-495,238374.99,19,2.8
2022-05-19,REP-285,237995.91,26,3.8
2022-10-26,REP-368,216416.82,31,2.1
2022-08-10,REP-623,299498.46,10,3.4
2022-08-23,REP-199,211183.32,36,2.6
2023-03-26,REP-988,106768.55,20,3.9
2022-11-29,REP-187,397445.4,50,2.9
2022-11-15,REP-404,238427.69,26,3.9
2022-06-27,REP-460,84902.44,11,3.4
2023-02-12,REP-987,338660.0,40,2.7
2022-12-28,REP-300,107191.19,27,1.3
2023-02-06,REP-642,239153.97,12,3.9
2023-04-01,REP-859,379241.53,31,4.4
2023-02-19,REP-155,350299.68,23,2.2
2022-05-03,REP-685,383956.36,24,3.6
2022-08-31,REP-571,426459.96,6,1.7
2022-07-01,REP-833,359727.2,40,2.6
2022-10-09,REP-959,154558.69,41,2.7
2022-06-13,REP-585,94736.22,21,3.1
2022-09-25,REP-559,119077.83,42,2.3
2023-02-08,REP-338,291310.58,4,3.0
2022-09-10,REP-546,322286.27,17,1.4
2023-04-09,REP-227,262861.86,24,3.6
2022-02-18,REP-642,400983.46,14,4.0
2022-07-13,REP-680,61954.33,15,1.1
2023-03-12,REP-846,437650.52,22,2.1
2022-07-27,REP-632,412249.73,48,4.3
2022-03-14,REP-668,23324.71,23,3.3
2023-01-09,REP-497,146275.77,23,2.4
2022-09-29,REP-359,310309.39,46,2.8
2022-08-03,REP-628,431499.9,20,1.4
2022-08-19,REP-767,499136.78,45,4.7
2022-06-08,REP-882,199004.43,7,4.9
2022-08-16,REP-467,214544.29,25,4.4
2023-02-13,REP-596,290041.12,36,2.9
2022-02-11,REP-624,207380.74,6,1.5
2022-07-02,REP-284,412076.31,42,2.0
2022-11-21,REP-367,251489.64,43,1.1
2022-03-12,REP-852,23635.86,45,4.4
2023-03-02,REP-670,241490.7,40,1.1
2022-10-01,REP-597,298938.26,35,4.6
2022-10-31,REP-857,225180.67,38,2.7
2023-03-30,REP-205,111963.16,50,2.5
2023-02-28,REP-708,148448.62,10,4.2
2022-07-09,REP-910,168897.5,17,3.2
2022-05-27,REP-570,275105.75,43,3.0
2022-07-24,REP-313,202640.44,16,3.5
2022-04-15,REP-206,296694.57,47,1.6
2023-03-31,REP-774,230151.25,32,2.9
2022-03-26,REP-994,177959.35,12,1.8
2022-09-17,REP-452,295586.71,31,2.3
2022-05-03,REP-750,406894.51,14,1.4
2022-03-22,REP-432,467406.7,21,3.7
2022-05-28,REP-399,66830.96,19,2.0
2023-02-02,REP-582,267120.07,49,4.0
2022-11-03,REP-373,327380.92,39,3.1
2022-06-15,REP-343,365240.25,15,4.3
2023-02-28,REP-875,311075.0,21,3.1
2022-08-21,REP-609,233484.72,30,1.5
2023-01-29,REP-480,458299.08,46,3.0
2022-07-15,REP-994,44425.96,17,3.3
2022-04-30,REP-652,402747.62,34,3.7
2022-09-21,REP-800,255182.51,44,4.5
2022-12-04,REP-410,246719.88,23,2.0
2022-09-09,REP-571,407181.19,8,3.6
2022-10-12,REP-721,53784.88,37,3.1
2022-03-04,REP-665,44676.67,25,3.0
2022-04-16,REP-689,379769.98,35,1.7
2022-11-18,REP-102,156483.66,33,2.3
2022-03-01,REP-452,99360.07,20,3.7
2022-02-21,REP-957,254874.75,2,3.9
2023-03-03,REP-434,99150.24,19,2.5
2022-06-20,REP-963,442578.28,40,4.3
2022-03-30,REP-649,12853.36,42,3.2
2023-03-08,REP-970,103643.57,44,1.4
2022-08-25,REP-457,269143.14,42,4.5
2022-06-06,REP-478,135617.04,41,4.4
2022-06-03,REP-254,5158.28,26,1.9
2022-11-22,REP-876,325984.45,39,4.6
2022-10-29,REP-848,481072.3,25,3.2
2022-11-09,REP-461,325483.67,40,4.9
2022-12-27,REP-538,415328.89,22,2.9
2023-02-21,REP-144,56573.53,14,2.8
2023-01-21,REP-346,336388.26,2,4.8
2023-03-24,REP-726,105222.65,21,3.3
2022-10-23,REP-509,252856.69,10,2.0
2022-01-13,REP-774,63854.42,44,2.2
2022-12-18,REP-169,427841.67,15,4.7
2023-01-26,REP-792,337903.69,13,1.7
2023-03-28,REP-789,465155.66,45,1.8
2023-03-27,REP-491,274332.95,40,4.3
2022-09-20,REP-999,466478.23,40,1.5
2023-01-29,REP-631,294969.47,10,1.1
2022-03-27,REP-794,486212.21,6,4.4
2022-07-04,REP-172,63697.38,20,4.9
2022-12-31,REP-710,140123.44,25,2.9
2022-11-01,REP-886,466294.31,8,3.5
2023-01-15,REP-796,369480.04,12,2.5
2022-08-31,REP-589,385018.15,18,2.7
2023-03-09,REP-468,19737.35,20,1.5
2022-09-17,REP-864,471762.2,37,5.0
2022-01-04,REP-967,36846.12,43,4.5
2023-03-21,REP-238,254116.48,13,3.8
2022-11-25,REP-576,364009.37,8,3.9
2023-03-16,REP-683,44532.94,8,3.5
2022-05-29,REP-115,16604.54,47,3.5
2023-01-20,REP-771,186881.3,14,3.1
2022-05-25,REP-813,25804.62,23,4.2
2022-01-06,REP-239,150313.15,14,2.2
2022-02-28,REP-331,97357.53,33,3.0
2022-11-03,REP-823,342554.32,41,2.0
2022-08-29,REP-475,392141.29,6,1.2
2023-02-14,REP-399,163517.61,13,2.4
2022-12-27,REP-582,98205.22,10,1.0
2022-06-04,REP-485,105960.29,14,2.2
2022-03-24,REP-540,11523.35,19,4.4
2022-10-08,REP-408,65757.01,7,2.6
2022-10-23,REP-425,126883.51,19,2.9
2022-12-12,REP-565,365770.65,28,4.6
2023-02-17,REP-446,224164.31,40,2.4
2022-07-26,REP-381,94800.17,21,4.9
2023-01-23,REP-507,428405.73,4,5.0
2022-11-19,REP-179,143697.91,38,3.9
2023-01-06,REP-762,277058.73,25,3.4
2022-08-05,REP-711,321433.15,33,1.1
2022-12-17,REP-165,217363.11,2,4.3
2023-01-30,REP-323,42893.23,48,1.5
2023-03-26,REP-970,312401.98,33,1.1
2023-01-11,REP-476,303871.89,26,4.1
2022-02-19,REP-840,78482.54,32,2.6
2022-10-02,REP-784,497933.48,43,4.6
2022-04-05,REP-530,145686.81,26,4.6
2023-02-03,REP-854,368569.12,15,2.8
2022-02-07,REP-590,411582.18,45,2.4
2023-02-07,REP-917,282573.8,22,3.2
2022-05-09,REP-125,45081.81,34,4.8
2022-09-02,REP-741,349318.49,22,1.4
2023-01-16,REP-933,366172.7,45,3.7
2023-01-22,REP-373,304491.93,1,2.9
2022-05-13,REP-532,271014.85,19,3.7
2022-10-15,REP-457,325599.62,15,3.0
2022-03-21,REP-408,237795.86,18,2.5
2022-10-17,REP-472,176077.15,42,2.5
2022-02-13,REP-860,95973.08,37,2.8
2023-03-22,REP-371,103113.9,14,3.3
2022-03-30,REP-793,253281.46,45,2.3
2022-07-16,REP-633,280893.58,1,4.3
2022-03-18,REP-575,376428.34,46,4.5
2022-01-26,REP-214,226304.76,35,3.9
2022-07-02,REP-788,271925.04,36,4.0
2022-01-05,REP-343,280890.49,12,4.7
2022-11-20,REP-352,66335.71,36,2.1
2022-11-26,REP-883,261009.45,18,3.4
2023-02-02,REP-966,406287.16,2,3.6
2022-10-12,REP-590,222546.94,10,3.2
2022-07-31,REP-762,152854.62,23,1.7
2022-06-08,REP-952,467189.39,37,1.2
2023-02-05,REP-522,241479.86,18,2.0
2022-08-09,REP-645,55877.7,10,2.5
2023-04-25,REP-890,236316.7,48,4.6
2022-04-17,REP-109,123628.36,3,3.3
2022-06-09,REP-505,237260.24,15,3.3
2023-03-10,REP-915,385643.81,50,2.4
2022-04-05,REP-480,64771.8,50,4.3
2022-02-14,REP-384,255504.17,25,1.2
2022-01-30,REP-615,133716.17,36,2.1
2023-04-15,REP-767,142100.66,46,3.3
2022-11-14,REP-869,135346.15,1,1.8
2022-06-24,REP-861,354199.58,44,1.9
2023-01-24,REP-351,382610.34,17,3.4
2022-10-16,REP-792,123437.14,18,1.5
2022-11-10,REP-884,493680.62,39,4.6
2023-04-26,REP-501,437365.08,50,2.6
2022-08-20,REP-972,448935.9,24,4.7
2023-02-10,REP-938,227114.39,18,3.8
2022-04-11,REP-894,420162.45,25,2.4
2022-09-07,REP-982,347803.25,44,4.5
2022-12-27,REP-271,133310.13,24,3.7
2023-04-29,REP-151,473503.72,12,3.4
2022-07-10,REP-200,384082.62,44,2.6
2022-11-26,REP-731,274034.72,27,3.2
2022-09-30,REP-750,271203.88,6,1.1
2022-02-02,REP-520,427192.23,44,3.2
2022-04-22,REP-637,255902.99,37,2.6
2022-02-08,REP-346,445631.19,48,2.3
2023-03-08,REP-850,306841.71,12,2.3
2022-11-14,REP-480,358362.65,50,1.9
2022-07-22,REP-529,306581.27,43,3.6
2022-12-25,REP-234,132467.13,22,3.2
2022-07-17,REP-566,78930.38,41,1.9
2022-03-05,REP-492,282617.33,9,4.8
2022-08-05,REP-866,115032.85,27,3.2
2022-06-27,REP-143,240417.23,20,3.5
2022-01-08,REP-818,218555.99,7,3.7
2022-07-14,REP-869,358925.09,39,4.2
2022-05-30,REP-141,291385.41,32,2.4
2022-03-06,REP-573,9597.26,32,3.6
2023-01-21,REP-369,6451.33,3,3.1
2022-09-03,REP-858,132540.99,5,4.1
2023-02-27,REP-966,274709.6,15,4.1
2023-02-09,REP-590,434178.41,14,3.7
2022-12-31,REP-617,236050.31,29,2.2
2022-06-03,REP-789,376262.82,2,2.0
2022-03-04,REP-162,142005.54,26,3.5
2022-08-09,REP-936,160936.95,26,4.7
2022-01-21,REP-446,253756.28,40,3.6
2022-09-30,REP-289,495474.61,16,2.8
2022-01-07,REP-278,416650.82,4,3.5
2022-04-30,REP-962,336613.98,27,3.5
2023-01-25,REP-806,372445.19,42,1.6
2022-12-11,REP-516,180919.24,39,2.3
2022-06-05,REP-287,263839.9,37,1.0
2022-05-01,REP-200,88466.9,33,3.4
2022-09-12,REP-432,446130.38,46,3.5
2022-09-08,REP-144,124573.32,42,3.1
2022-11-29,REP-786,172699.04,7,1.8
2022-06-20,REP-141,317551.93,27,1.8
2022-01-28,REP-508,146242.14,42,3.9
2022-03-06,REP-228,29906.36,44,4.1
2022-07-04,REP-146,360346.06,21,2.5
2023-03-12,REP-168,184125.69,12,3.7
2022-04-20,REP-307,406849.84,20,3.1
2022-12-13,REP-873,92797.02,26,3.1
2022-01-15,REP-210,260480.23,25,4.1
2022-07-29,REP-421,180970.95,42,2.3
2022-02-02,REP-188,55197.64,37,1.1
2022-05-28,REP-127,496088.14,11,1.9
2023-01-23,REP-204,110922.19,32,1.5
2022-06-15,REP-920,358163.14,8,3.7
2022-06-08,REP-560,424525.66,11,3.6
2022-10-11,REP-219,321896.28,40,3.3
2023-01-01,REP-382,366068.01,32,1.3
2022-04-01,REP-592,104364.7,40,2.7
2022-06-05,REP-653,118728.58,16,4.9
2022-03-18,REP-854,311526.47,18,1.8
2022-01-24,REP-376,444645.12,44,4.0
2022-08-18,REP-508,236872.52,50,2.1
2022-12-19,REP-911,248671.6,16,1.6
2023-01-09,REP-731,376347.32,11,4.5
2023-01-24,REP-914,435187.12,15,2.5
2022-09-21,REP-484,83526.92,3,3.6
2022-07-29,REP-307,226306.05,18,2.5
2022-02-24,REP-955,317897.28,42,3.5
2022-03-24,REP-315,228019.86,12,1.2
2022-05-29,REP-221,223843.17,37,2.4
2022-08-08,REP-418,311873.4,25,2.3
2023-04-11,REP-747,426619.32,8,1.8
2022-03-07,REP-118,411105.33,3,1.6
2022-04-28,REP-676,473990.9,30,3.4
2022-07-19,REP-561,234078.08,9,4.0
2023-03-18,REP-933,415881.86,34,2.0
2022-03-21,REP-245,182884.87,3,4.0
2023-02-11,REP-964,14753.38,29,2.8
2022-07-19,REP-420,391565.17,26,1.2
2022-12-26,REP-395,494310.53,26,2.2
2022-02-10,REP-687,180290.83,23,4.7
2023-03-10,REP-611,327231.65,4,4.1
2022-05-04,REP-748,452753.28,15,1.0
2022-07-15,REP-697,84522.36,2,2.2
2022-10-11,REP-540,372761.97,13,2.2
2023-01-17,REP-913,324448.81,46,4.0
2023-02-16,REP-861,359025.53,24,4.0
2022-05-23,REP-504,165009.29,25,4.4
2022-05-14,REP-795,255318.62,9,3.3
2022-11-12,REP-336,428087.62,43,4.2
2022-01-24,REP-902,200296.22,6,1.2
2023-04-05,REP-626,296066.54,14,3.3
2022-11-23,REP-395,227725.03,15,3.5
2022-05-14,REP-955,441614.75,18,2.4
2022-12-04,REP-741,141574.01,15,4.9
2022-12-05,REP-776,92744.78,27,3.3
2022-02-20,REP-296,400007.18,8,1.5
2022-06-02,REP-816,80688.01,33,2.7
2022-04-02,REP-732,135378.3,40,2.5
2022-05-12,REP-925,236813.54,9,3.0
2022-02-24,REP-504,9698.02,48,3.5
2023-03-21,REP-730,136503.09,38,2.0
2023-04-06,REP-450,345524.56,38,4.1
2022-01-30,REP-789,185785.18,25,2.2
2023-02-09,REP-435,47114.3,32,2.1
2022-04-09,REP-544,193687.93,34,4.8
2022-12-21,REP-472,425560.07,14,4.0
2023-01-02,REP-375,382930.62,1,3.2
2023-03-25,REP-161,129993.54,39,2.2
2023-01-10,REP-486,79500.34,46,4.2
2022-02-10,REP-420,105407.58,11,3.3
2022-03-02,REP-974,140598.76,40,2.3
2023-01-22,REP-121,428715.37,35,4.3
2022-02-27,REP-630,73322.06,7,3.9
2022-12-04,REP-401,150541.63,24,3.1
2023-01-06,REP-891,371577.51,30,1.9
2022-02-26,REP-356,74778.55,7,3.9
2023-03-06,REP-400,385174.69,27,2.3
2022-10-18,REP-711,441092.15,47,3.3
2022-02-16,REP-685,304729.22,30,2.2
2022-08-31,REP-473,147787.19,11,3.0
2023-02-10,REP-109,132201.91,42,4.8
2022-07-05,REP-134,477665.47,22,2.2
2023-01-04,REP-414,12465.91,25,1.8
2022-10-16,REP-978,114058.22,31,3.5
2022-03-31,REP-372,338898.74,30,1.9
2022-10-09,REP-389,237894.59,3,3.3
2022-04-16,REP-787,285124.6,8,1.1
2023-04-28,REP-266,231012.76,5,1.7
2023-02-16,REP-311,249244.78,15,3.3
2022-03-28,REP-709,443867.95,25,2.5
2022-09-28,REP-422,48632.52,49,3.5
2022-06-21,REP-863,431696.34,14,2.9
2022-07-28,REP-251,119406.68,32,4.1
2022-12-13,REP-352,233517.99,33,1.1
2022-07-19,REP-996,301730.24,19,1.5
2023-02-22,REP-130,414270.66,2,1.9
2023-04-06,REP-781,133964.13,17,2.3
2022-11-01,REP-663,270274.47,5,4.6
2022-01-10,REP-145,43049.1,31,1.9
2022-04-19,REP-674,45731.06,1,1.5
2022-09-05,REP-406,235532.8,24,2.2
2023-01-18,REP-224,20794.51,49,3.7
2022-06-16,REP-525,312218.88,48,1.5
2022-06-08,REP-727,136669.6,22,1.3
2022-07-16,REP-769,27186.24,42,1.9
2022-02-16,REP-977,143906.07,47,1.9
2022-11-02,REP-117,163447.36,8,2.7
2022-11-16,REP-750,377573.37,3,3.8
2023-01-01,REP-171,174002.26,2,3.8
2022-03-23,REP-737,216619.48,45,4.0
2023-01-30,REP-976,455085.88,14,2.1
2022-08-01,REP-288,385468.09,41,3.0
2022-02-03,REP-317,398691.82,13,2.7
2023-01-12,REP-589,71469.85,48,3.2
2022-03-21,REP-199,366134.11,5,4.3
2022-11-25,REP-693,465531.41,12,4.0
2022-09-19,REP-161,278446.86,25,1.8
2022-10-28,REP-198,36409.77,33,4.5
2022-11-26,REP-975,253248.21,48,1.3
2022-12-16,REP-103,199950.76,27,1.2
2022-09-13,REP-422,191947.65,21,3.8
2022-01-19,REP-991,334227.73,36,3.8
2023-03-12,REP-662,340434.9,5,1.6
2023-01-20,REP-434,436125.89,10,2.0
2022-07-30,REP-509,78946.56,46,2.6
2022-04-29,REP-573,222593.31,49,2.1
2022-08-23,REP-334,97787.54,37,2.7
2022-05-21,REP-703,205989.42,48,1.2
2022-05-09,REP-133,303627.45,35,3.1
2023-01-14,REP-999,466836.75,36,4.4
2023-01-30,REP-778,68665.96,23,2.2
2022-02-03,REP-996,323820.15,6,4.1
2022-10-11,REP-638,443838.06,24,1.4
2022-03-24,REP-790,485841.41,17,2.9
2022-04-05,REP-357,159744.93,18,4.3
2022-01-03,REP-554,404836.61,7,2.8
2022-02-28,REP-368,11295.96,14,1.7
2022-10-26,REP-874,312997.04,46,3.5
2022-11-02,REP-171,218128.62,44,4.5
2022-11-12,REP-590,240990.97,31,3.7
2022-08-07,REP-378,63924.36,8,4.0
2022-08-19,REP-682,369252.2,42,1.8
2022-04-05,REP-391,276270.05,27,2.3
2022-11-04,REP-577,45008.81,18,2.3
2022-01-13,REP-457,179449.59,39,2.9
2022-06-11,REP-916,398023.56,42,3.5
2023-01-01,REP-611,164518.24,18,2.1
2022-02-24,REP-366,425554.55,26,4.0
2022-12-05,REP-652,75717.04,2,1.5
2023-02-26,REP-660,434482.23,24,1.6
2022-11-09,REP-169,316537.17,6,4.9
2023-01-13,REP-663,342383.54,13,3.5
2022-03-26,REP-417,426501.91,22,3.0
2022-06-24,REP-763,87617.02,12,4.7
2022-09-21,REP-744,196698.71,24,1.3
2022-07-17,REP-334,151637.55,4,4.8
2022-08-11,REP-691,134643.4,31,3.8
2022-11-14,REP-503,183341.1,9,3.4
2022-12-14,REP-788,434839.32,21,1.6
2023-03-09,REP-480,153915.7,28,3.6
2023-03-06,REP-404,118242.32,24,4.2
2022-11-03,REP-203,305146.03,41,4.7
2022-06-17,REP-887,442991.22,50,4.4
2022-11-18,REP-216,44154.63,42,2.5
2022-02-16,REP-216,64899.0,25,2.9
